id,predicted_label,rationale
58,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
59,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
60,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
61,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
64,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
70,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
72,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
75,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
77,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
78,0,"Ensemble-v1 | score=0.00 | votes={'P1_RAG': 0, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
80,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
81,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
82,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
85,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
86,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 0, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
87,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
91,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
93,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
94,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
95,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 0, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
97,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 0, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
101,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
103,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
110,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
111,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
114,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
115,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
119,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
121,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 0, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
124,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
127,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
129,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
131,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
132,1,"Ensemble-v1 | score=1.00 | votes={'P1_RAG': 1, 'P2_NLI': 1, 'P3_GenAI': 1} | tuned_k=8"
133,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
135,0,"Ensemble-v1 | score=0.40 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 0} | tuned_k=8"
136,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
140,1,"Ensemble-v1 | score=0.80 | votes={'P1_RAG': 1, 'P2_NLI': 0, 'P3_GenAI': 1} | tuned_k=8"
